original,smaller
0.3668566048145294,0.5546077489852905
0.29604092240333557,0.5043842792510986
0.2837418019771576,0.47569969296455383
0.2953238785266876,0.4679846167564392
0.31130415201187134,0.4535978436470032
0.3342192471027374,0.4388209879398346
0.35448652505874634,0.43880540132522583
0.3818216025829315,0.4308834671974182
0.4182804822921753,0.425127238035202
0.4330425262451172,0.42189300060272217
0.4646773934364319,0.4272286593914032
0.49654409289360046,0.42004624009132385
0.5341281294822693,0.4380565881729126
0.5878057479858398,0.43573012948036194
0.633400022983551,0.4436522126197815
0.6646486520767212,0.4606896936893463
0.7937820553779602,0.46927550435066223
0.7225635647773743,0.46975231170654297
0.8111438155174255,0.4912837743759155
0.81145840883255,0.4491775333881378
