original,regularization
0.36863312125205994,0.4058917164802551
0.3041175603866577,0.34077188372612
0.2792436480522156,0.32680293917655945
0.28781893849372864,0.3457224667072296
0.30022940039634705,0.3372880220413208
0.3179338872432709,0.3414440155029297
0.348511666059494,0.35624265670776367
0.36280369758605957,0.3688177466392517
0.3868368864059448,0.38080427050590515
0.4319987893104553,0.37355339527130127
0.45898860692977905,0.37497326731681824
0.4715765714645386,0.379542738199234
0.507655918598175,0.38366684317588806
0.5338529944419861,0.3833279013633728
0.5665582418441772,0.38921111822128296
0.6154957413673401,0.39985933899879456
0.6356850862503052,0.42204609513282776
0.6860268712043762,0.4538819491863251
0.7079246044158936,0.4073929190635681
0.8629750609397888,0.4183754324913025
