original,bigger
0.3318067193031311,0.2756250500679016
0.28518950939178467,0.2857327163219452
0.28683164715766907,0.3354499638080597
0.3010927438735962,0.4534880816936493
0.3139890432357788,0.5002360939979553
0.3403078019618988,0.5067785382270813
0.35922977328300476,0.7279484272003174
0.3894495666027069,0.6483044028282166
0.4110684096813202,0.8071585893630981
0.4497200846672058,0.9761122465133667
0.4692627489566803,0.880308210849762
0.5267874002456665,0.8586747646331787
0.5331807136535645,0.9502772688865662
0.5818106532096863,1.0862420797348022
0.5945483446121216,1.0395928621292114
0.6295866966247559,0.9753717184066772
0.6731361746788025,1.01105797290802
0.7358987331390381,1.1118985414505005
0.7280094623565674,1.2612205743789673
0.7661364078521729,1.3801531791687012
