original,regularization
0.3604060411453247,0.5153111815452576
0.2966066002845764,0.40524768829345703
0.29347896575927734,0.3581501245498657
0.28591522574424744,0.33511465787887573
0.3179330825805664,0.32683512568473816
0.3409345746040344,0.3274957835674286
0.34704217314720154,0.336195170879364
0.3663882315158844,0.34362608194351196
0.3927876651287079,0.35344651341438293
0.4109930396080017,0.3688633143901825
0.44208666682243347,0.3886595070362091
0.46442925930023193,0.38403207063674927
0.5404588580131531,0.3843807876110077
0.624697208404541,0.3874530494213104
0.5652378797531128,0.40364205837249756
0.6009991765022278,0.4045950472354889
0.6262586116790771,0.42105355858802795
0.6674473285675049,0.43114975094795227
0.6948405504226685,0.4393828511238098
0.7975789308547974,0.4304397702217102
